route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
18,29395290,"Poisat, Cimetière Intercommunal",12345-MEHLV11_ST8_1_HI2425-MEHLV11_ST8_2_HI2425-MEHLV12_ST8_2_HI2425-MEHLV12_ST8_3_HI2425-MEHW11_ST11_1_HI2425-MEHW12_ST11_2_HI2425-MEHW12_ST11_3_HI2425,0,SEM_18_3,1,2
B,29028376,"Grenoble, Oxford",12345-MGHLV02_ST0_10_HI2425-MGHLV09_ST0_16_HI2425-MGHLV12_ST0_1_HI2425,1,SEM_B_2,1,2
E,29951491,"Gières, Plaine des Sports",12345-MGHLV12_ST0_1_HI2425,0,SEM_E_4,1,2
A,29542549,"Grenoble, Grand'place",12345-MEHLV11_ST8_1_HI2425-MEHLV12_ST8_3_HI2425-MEHW11_ST11_1_HI2425-MEHW12_ST11_3_HI2425,0,SEM_A_3,1,2
8,29499223,"Gières, Université - Biologie",1234567-MSHSAH02_ST5_2_HI2425,0,SEM_C8_4,1,2
13,29360883,"Voreppe, Voreppe Gare",12345-MIHLV09_ST0_5_HI2425,1,SEM_C13_1,1,2
16,29293427,"Saint-Martin-d'Hères, Les Alloves",1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,0,SEM_16_5,1,2
4,29552075,"Grenoble, Victor Hugo",1234567-MEHS02_ST5_1_HI2425-MEHS12_ST5_1_HI2425,1,SEM_C4_2,1,2
65,28973193,"Grenoble, Grand'place",1234567-MFHS05_ST5_0_HI2425-MFHS12_ST5_0_HI2425-MFHS13_ST5_0_HI2425,1,,1,2
E,29034146,"Grenoble, Louise Michel",12345-MGHLV02_ST0_10_HI2425,0,SEM_E_2,1,2
A,29856649,"Le Pont-de-Claix, L'Etoile",12345-MEHLV09_ST0_2_HI2425-MEHLV10_ST0_2_HI2425,0,SEM_A_3,1,2
15,29715373,"Grenoble, Verdun - Préfecture",12345-MAHLV06_ST0_0_HI2425,1,SEM_15_9,1,2
