stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
969,969,"La Tronche, Hôpital Michallon - Belledonne",45.19707,5.74784,,,HOPMICHA,2
97,97,"Saint-Martin-le-Vinoux, La Gomma",45.21513,5.71914,,,LAGOMMA,2
971,971,"Eybens, Alpexpo",45.15449,5.73379,,,ALPEXPO,1
972,972,"Grenoble, Polesud - Alpexpo",45.15715,5.73384,,,POLESUD,1
973,973,"Eybens, Alpexpo",45.15422,5.73367,,,ALPEXPO,1
974,974,"Grenoble, Polesud - Alpexpo",45.15706,5.73368,,,POLESUD,1
976,976,"Seyssins, Seyssins Rondeau",45.16022,5.69369,,,SEYSROND,1
977,977,"Seyssins, Seyssins Rondeau",45.16036,5.69373,,,SEYSROND,1
984,984,"Saint-Égrève, Vence EcoParc",45.22745,5.66853,,,VENCEECO,1
985,985,"Saint-Égrève, Vence EcoParc",45.22773,5.66846,,,VENCEECO,1
987,987,"Le Gua, Le Gua Mairie",45.02219,5.64454,,,LEGUAMAI,2
988,988,"Le Gua, Le Gua Mairie",45.02211,5.64457,,,LEGUAMAI,2
989,989,"Le Gua, Les Rossets",45.01679,5.6408,,,ROSSETS,2
990,990,"Le Gua, Les Rossets",45.01657,5.64083,,,ROSSETS,2
991,991,"Le Gua, La Charrière",45.01277,5.61587,,,LACHARRI,2
992,992,"Le Gua, La Charrière",45.01286,5.61595,,,LACHARRI,2
993,993,"Le Gua, Les Faures",45.01439,5.61354,,,LESFAURE,2
994,994,"Le Gua, Les Faures",45.01447,5.61372,,,LESFAURE,2
995,995,"Le Gua, La Pierre",44.98916,5.62198,,,LAPIERRE,2
996,996,"Lumbin, Buissonnay",45.31049,5.91738,,,BSN,1
997,997,"Miribel-Lanchâtre, Cassoulet",44.98181,5.623,,,CASSOULE,2
998,998,"Miribel-Lanchâtre, Cassoulet",44.98229,5.62309,,,CASSOULE,2
999,999,"Miribel-Lanchâtre, Bayanne",44.98074,5.62288,,,BAYANNE,2
ABBEGREG,GENABBEGREG,"Grenoble, Abbé Grégoire",45.18388,5.71174,,1,,1
ADELAUNE,GENADELAUNE,"Échirolles, Auguste Delaune",45.14292,5.71527,,1,,1
AE,GENAE,"Allevard, Allevard Écoles",45.39352,6.06999,,1,,1
AGD,GENAGD,"Montbonnot-Saint-Martin, Avenue du Général de Gaulle",45.22485,5.79781,,1,,1
AIGUIHEX,GENAIGUIHEX,"Meylan, Aiguinards-Hexagone",45.20556,5.76449,,1,,1
ALA,GENALA,"Allevard, Les Amoureux",45.3963,6.07365,,1,,1
ALB1BELG,GENALB1BELG,"Grenoble, Albert 1er de Belgique",45.18168,5.73167,,1,,1
ALBERGES,GENALBERGES,"Vaulnaveys-le-Haut, Les Alberges",45.13148,5.81903,,1,,1
ALC,GENALC,"Allevard, Allevard Collège",45.39946,6.07717,,1,,1
ALD,GENALD,"Allevard, Le David",45.38705,6.06724,,1,,1
ALEGRANG,GENALEGRANG,"Vif, Allée des Granges",45.05795,5.68472,,1,,1
ALEMBERT,GENALEMBERT,"Grenoble, D'Alembert",45.18422,5.71064,,1,,1
ALI,GENALI,"Vizille, L'Alliance",45.08184,5.769,,1,,1
ALLIES,GENALLIES,"Grenoble, Alliés",45.17398,5.71427,,1,,1
ALLOVES,GENALLOVES,"Saint-Martin-d'Hères, Les Alloves",45.17204,5.76518,,1,,1
ALPEXPO,GENALPEXPO,"Eybens, Alpexpo",45.15449,5.73379,,1,,1
ALPL,GENALPL,"Allevard, Pléiade",45.39214,6.07119,,1,,1
ALSACELO,GENALSACELO,"Grenoble, Alsace-Lorraine",45.18911,5.7193,,1,,1
ANATFRAN,GENANATFRAN,"Grenoble, Anatole France",45.17186,5.70495,,1,,1
ANCIEMAI,GENANCIEMAI,"Fontaine, Ancienne Mairie",45.19272,5.67806,,1,,1
ANCIGARE,GENANCIGARE,"Seyssins, Ancienne Gare",45.15978,5.68178,,1,,1
ANCMAIRI,GENANCMAIRI,"Meylan, Ancienne Mairie",45.21793,5.77933,,1,,1
ANGONNES,GENANGONNES,"Brié-et-Angonnes, Les Angonnes",45.13993,5.77617,,1,,1
ANGUISSE,GENANGUISSE,"Saint-Martin-d'Hères, Anguisses",45.17782,5.77786,,1,,1
ANMAL,GENANMAL,"Jarrie, André Malraux",45.09462,5.74417,,1,,1
ARAGO,GENARAGO,"Grenoble, Arago",45.19709,5.71174,,1,,1
ARBERGES,GENARBERGES,"Seyssinet-Pariset, Aristide Bergès",45.18551,5.69465,,1,,1
ARGOUD,GENARGOUD,"Seyssins, L'Argoud",45.15433,5.68029,,1,,1
ARGOUGES,GENARGOUGES,"Grenoble, André Argouges",45.17537,5.74447,,1,,1
